"";"post_code";"muni_name"
"701";"22730";"Kökar"
"702";"22810";"Kumlinge"
"703";"22820";"Kumlinge"
"704";"22830";"Kumlinge"
"705";"22840";"Brändö"
"706";"22910";"Brändö"
"707";"22920";"Brändö"
"708";"22930";"Brändö"
"709";"22940";"Brändö"
"710";"22950";"Brändö"
"711";"23100";"Mynämäki"
"712";"23120";"Mynämäki"
"713";"23140";"Mynämäki"
"714";"23200";"Vehmaa"
"715";"23210";"Vehmaa"
"716";"23260";"Vehmaa"
"717";"23310";"Taivassalo"
"718";"23360";"Kustavi"
"719";"23390";"Parainen"
"720";"23450";"Uusikaupunki"
"721";"23500";"Uusikaupunki"
"722";"23600";"Uusikaupunki"
"723";"23660";"Uusikaupunki"
"724";"23800";"Laitila"
"725";"23840";"Laitila"
"726";"23880";"Laitila"
"727";"23930";"Uusikaupunki"
"728";"23950";"Pyhäranta"
"729";"23960";"Pyhäranta"
"730";"24100";"Salo"
"731";"24130";"Salo"
"732";"24240";"Salo"
"733";"24260";"Salo"
"734";"24280";"Salo"
"735";"24800";"Salo"
"736";"24910";"Salo"
"737";"25110";"Salo"
"738";"25130";"Salo"
"739";"25160";"Salo"
"740";"25170";"Salo"
"741";"25180";"Salo"
"742";"25190";"Salo"
"743";"25210";"Salo"
"744";"25230";"Salo"
"745";"25240";"Salo"
"746";"25250";"Salo"
"747";"25260";"Salo"
"748";"25320";"Salo"
"749";"25330";"Salo"
"750";"25340";"Salo"
"751";"25360";"Salo"
"752";"25370";"Salo"
"753";"25380";"Salo"
"754";"25390";"Salo"
"755";"25410";"Salo"
"756";"25420";"Salo"
"757";"25430";"Salo"
"758";"25460";"Salo"
"759";"25470";"Salo"
"760";"25500";"Salo"
"761";"25520";"Salo"
"762";"25540";"Salo"
"763";"25550";"Salo"
"764";"25560";"Salo"
"765";"25570";"Salo"
"766";"25610";"Salo"
"767";"25630";"Salo"
"768";"25640";"Salo"
"769";"25650";"Kemiönsaari"
"770";"25660";"Salo"
"771";"25700";"Kemiönsaari"
"772";"25710";"Kemiönsaari"
"773";"25730";"Kemiönsaari"
"774";"25760";"Kemiönsaari"
"775";"25810";"Kemiönsaari"
"776";"25820";"Kemiönsaari"
"777";"25830";"Kemiönsaari"
"778";"25840";"Kemiönsaari"
"779";"25860";"Kemiönsaari"
"780";"25870";"Kemiönsaari"
"781";"25900";"Kemiönsaari"
"782";"25910";"Kemiönsaari"
"783";"25930";"Kemiönsaari"
"784";"25940";"Kemiönsaari"
"785";"25950";"Kemiönsaari"
"786";"25960";"Kemiönsaari"
"787";"26100";"Rauma"
"788";"26200";"Rauma"
"789";"26410";"Rauma"
"790";"26510";"Rauma"
"791";"26560";"Rauma"
"792";"26660";"Rauma"
"793";"26720";"Rauma"
"794";"26740";"Rauma"
"795";"26820";"Rauma"
"796";"26840";"Rauma"
"797";"26910";"Rauma"
"798";"26930";"Rauma"
"799";"26950";"Rauma"
"800";"27100";"Eurajoki"
"801";"27110";"Eurajoki"
"802";"27130";"Eurajoki"
"803";"27150";"Eurajoki"
"804";"27160";"Eurajoki"
"805";"27170";"Eurajoki"
"806";"27220";"Rauma"
"807";"27230";"Rauma"
"808";"27250";"Rauma"
"809";"27260";"Rauma"
"810";"27310";"Rauma"
"811";"27320";"Pyhäranta"
"812";"27340";"Pyhäranta"
"813";"27400";"Eura"
"814";"27420";"Eura"
"815";"27430";"Eura"
"816";"27450";"Eura"
"817";"27500";"Eura"
"818";"27510";"Eura"
"819";"27600";"Eura"
"820";"27640";"Eura"
"821";"27650";"Eura"
"822";"27670";"Eura"
"823";"27710";"Säkylä"
"824";"27730";"Säkylä"
"825";"27740";"Säkylä"
"826";"27750";"Säkylä"
"827";"27800";"Säkylä"
"828";"27820";"Säkylä"
"829";"27840";"Säkylä"
"830";"27860";"Säkylä"
